,Name,SMILES,Molweight,calcPM1,calcPM2,calcPM3,calcNPR1,calcNPR2,calcCrippenLopP,calcCrippenMR,calcLipinskiFractionCSP3,calcLipinskiHeavyAtomCount,calcLipinskiNHOHCount,calcLipinskiNOCount,calcLipinskiNumAliphaticCarbocycles,calcLipinskiNumAliphaticHeterocycles,calcLipinskiNumAliphaticRings,calcLipinskiNumAromaticCarbocycles,calcLipinskiNumAromaticHeterocycles,calcLipinskiNumAromaticRings,calcLipinskiNumHAcceptors,calcLipinskiNumHDonors,calcLipinskiNumHeteroatoms,calcLipinskiNumRotatableBonds,calcLipinskiNumSaturatedCarbocycles,calcLipinskiNumSaturatedHeterocycles,calcLipinskiNumSaturatedRings,calcLipinskiRingCount,calcAsphericity,calcEccentricity,calcInertialShapeFactor,calcRadiusOfGyration,calcSpherocityIndex,calcTPSA
0,,,104.062600256,74.42812211043588,278.6624314549646,353.0905534411722,0.21079046546295163,0.7892095348888796,2.3296,36.53300000000001,0.0,8,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0.5009264645545097,0.9775312678732645,0.010603647015544159,1.9169397910064236,5.277468368056205e-10,0.0
1,,,210.140850576,614.3112626086819,871.2410878435863,1184.3725939077676,0.5186807477381742,0.7356140224158495,4.422900000000004,69.62000000000005,0.25,16,0,0,0,0,0,2,0,2,0,0,0,4,0,0,0,2,0.13720537305903913,0.8549680005273697,0.001197461396511035,2.635633104378991,0.338413733892461,0.0
2,,,314.203450832,1604.4553034395904,2470.265358052202,3487.5457568234474,0.46005283236798944,0.7083105227276466,6.596800000000006,103.42000000000004,0.25,24,0,0,0,0,0,3,0,3,0,0,0,7,0,0,0,3,0.18642120438543738,0.8878915426053965,0.0004414647894579478,3.621727615242539,0.2329360824605134,0.0
3,,,418.266051088,2089.8203470475155,6802.567651943914,7542.959863354281,0.2770557426933189,0.901843278391631,8.770700000000003,137.2199999999999,0.25,32,0,0,0,0,0,4,0,4,0,0,0,10,0,0,0,4,0.38867740435644826,0.9608538470759502,0.00043154105551022567,4.6239154027276514,0.2463157117706208,0.0
4,,,522.328651344,3776.164926560515,8459.974673956818,11094.768531551035,0.34035544913099797,0.7625192585044516,10.94459999999999,171.01999999999944,0.25,40,0,0,0,0,0,5,0,5,0,0,0,13,0,0,0,5,0.3029117563006679,0.9402968511309802,0.00020192954315662932,4.92755232645669,0.14676296299810446,0.0
5,,,626.3912516,5488.671528667776,11053.110748481844,13437.264341918195,0.40846643996915355,0.8225715046775653,13.118499999999978,204.81999999999928,0.25,48,0,0,0,0,0,6,0,6,0,0,0,16,0,0,0,6,0.22214865354057098,0.9127733384684973,0.0001498671400504125,5.09898469894358,0.3106687788987427,0.0
6,,,730.453851856,6332.533581781572,15481.153223615518,16044.439839999497,0.39468710936197887,0.9648920983218323,15.292399999999963,238.61999999999915,0.25,56,0,0,0,0,0,7,0,7,0,0,0,19,0,0,0,7,0.24885704544967505,0.9188155885178948,0.00015237062478401782,5.304945970005533,0.4571737280692241,0.0
7,,,834.516452112,9449.10651155486,19029.64873648139,21973.501064123924,0.4300228026467021,0.8660271606672205,17.466299999999972,272.41999999999945,0.25,64,0,0,0,0,0,8,0,8,0,0,0,22,0,0,0,8,0.20217684075259948,0.9028180266276673,9.165175137016366e-05,5.728563458716079,0.38681644743474436,0.0
8,,,938.579052368,10995.519645775907,26687.769821268786,28206.13176707863,0.38982728069821876,0.9461690827246992,19.640199999999997,306.2200000000002,0.25,72,0,0,0,0,0,9,0,9,0,0,0,25,0,0,0,9,0.25095836446859415,0.920887990595725,8.60504199170054e-05,6.172157742595463,0.4315028507971456,0.0
9,,,1042.641652624,16941.55596636081,22083.54419803349,26999.601391875723,0.6274742993597893,0.8179211195569172,21.814100000000018,340.02000000000095,0.25,80,0,0,0,0,0,10,0,10,0,0,0,28,0,0,0,10,0.06963195439932385,0.7786372734739467,4.8278984597458646e-05,5.861430887832953,0.5464090782267191,0.0
10,,,1146.70425288,17602.545829644245,33648.54205412612,40587.93444443402,0.43368912635213325,0.8290281955636812,23.98800000000004,373.82000000000124,0.25,88,0,0,0,0,0,11,0,11,0,0,0,31,0,0,0,11,0.1977512700148831,0.9010625625803813,4.7097062185602974e-05,6.59124884910224,0.34832100241320807,0.0
11,,,1250.766853136,20786.259055562903,35010.82144464513,38599.88421454435,0.5385057359247386,0.9070188203169048,26.161900000000063,407.6200000000015,0.25,96,0,0,0,0,0,12,0,12,0,0,0,34,0,0,0,12,0.11952811601892245,0.8426218442315365,4.363550063974425e-05,6.397920174304117,0.5465386415007073,0.0
12,,,1354.829453392,19559.0495771539,56496.094428692275,58654.34845272755,0.33346290757824215,0.963203853065136,28.335800000000084,441.4200000000017,0.25,104,0,0,0,0,0,13,0,13,0,0,0,37,0,0,0,13,0.319336754578923,0.9427632201509903,4.924594363676106e-05,7.343073055184895,0.3875182491345907,0.0
13,,,1458.892053648,32738.499891898075,41614.64133177046,59486.725570415336,0.5503496717624005,0.6995618086678947,30.509700000000105,475.22000000000196,0.25,112,0,0,0,0,0,14,0,14,0,0,0,40,0,0,0,14,0.1243407607453937,0.8349342721382432,2.1368169310684213e-05,7.05308560813504,0.3332284171231033,0.0
14,,,1562.954653904,31925.776666689624,44539.36683334909,56835.85165351969,0.5617189808523357,0.7836491499215688,32.683600000000105,509.0200000000022,0.25,120,0,0,0,0,0,15,0,15,0,0,0,43,0,0,0,15,0.10476784242038745,0.8273281009068973,2.4545969800609555e-05,6.800196955939294,0.4417662109102794,0.0
15,,,1667.01725416,37027.282212939426,54993.225712262094,64213.37496794145,0.5766288134119303,0.8564138816830213,34.85750000000005,542.8200000000024,0.25,128,0,0,0,0,0,16,0,16,0,0,0,46,0,0,0,16,0.09397096874754428,0.8170062493905107,2.3129266597475038e-05,7.12816997419598,0.5339520296556732,0.0
16,,,1771.079854416,45041.06063695624,55427.80425186177,65716.32011787764,0.6853862260723749,0.8434404749450213,37.031400000000005,576.6200000000026,0.25,136,0,0,0,0,0,17,0,17,0,0,0,49,0,0,0,17,0.04643461510810237,0.7281797313234333,1.8726034933843846e-05,7.132177071962403,0.6273581746087691,0.0
17,,,1875.142454672,41557.835737350746,76115.1935272683,83279.9702701412,0.4990135755638075,0.9139675876488428,39.20529999999996,610.4200000000029,0.25,144,0,0,0,0,0,18,0,18,0,0,0,52,0,0,0,18,0.14790121959654273,0.8665941676488622,2.1992665677423627e-05,7.621867930656999,0.5134493001961189,0.0
18,,,1979.205054928,41774.83592177733,90616.76375826525,98344.937376285,0.42477871292895814,0.9214176771657254,41.379199999999905,644.2200000000031,0.25,152,0,0,0,0,0,19,0,19,0,0,0,55,0,0,0,19,0.2120775332672268,0.9052972136499801,2.2056763523645293e-05,7.9493534967813195,0.44266932413195675,0.0
19,,,2083.267655184,52068.05754350185,81971.74335477597,89513.73869128819,0.5816767158287547,0.9157448292655636,43.55309999999986,678.0200000000034,0.25,160,0,0,0,0,0,20,0,20,0,0,0,58,0,0,0,20,0.09417650236445112,0.8134200626138222,1.7587459038595332e-05,7.626516297094995,0.5975221276577074,0.0
20,,,2187.33025544,55479.972892355036,115784.21403669081,126402.34079342465,0.4389157079220883,0.9159973882597102,45.72699999999981,711.8200000000036,0.25,168,0,0,0,0,0,21,0,21,0,0,0,61,0,0,0,21,0.19816697801257,0.898528241815054,1.6510415209412113e-05,8.58827176230183,0.4521352784829889,0.0
21,,,2291.392855696,61910.801874228055,110628.81113889751,130855.75815600669,0.47312248804838825,0.8454256251146812,47.90089999999976,745.620000000004,0.25,176,0,0,0,0,0,22,0,22,0,0,0,64,0,0,0,22,0.1637389037213942,0.8809966579408247,1.3655543128518436e-05,8.471173175194028,0.4121736072949005,0.0
22,,,2395.455455952,79073.60724595797,99360.05396346547,124495.09300278404,0.6351544092118528,0.7981041787827213,50.07479999999971,779.4200000000043,0.25,184,0,0,0,0,0,23,0,23,0,0,0,67,0,0,0,23,0.06770322835713313,0.7723851865868105,1.0093180349041409e-05,8.278597282704927,0.5341708318206173,0.0
